Log file created successfully...
Initialization succeded
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 694 , size[23][2] = 362 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 697 , size[23][2] = 363 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 700 , size[23][2] = 364 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 703 , size[23][2] = 365 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 706 , size[23][2] = 366 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 709 , size[23][2] = 367 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 712 , size[23][2] = 368 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 715 , size[23][2] = 369 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 718 , size[23][2] = 370 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 721 , size[23][2] = 371 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 724 , size[23][2] = 372 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 727 , size[23][2] = 373 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 730 , size[23][2] = 374 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 733 , size[23][2] = 375 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 736 , size[23][2] = 376 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 739 , size[23][2] = 377 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 742 , size[23][2] = 378 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 745 , size[23][2] = 379 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 748 , size[23][2] = 380 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 751 , size[23][2] = 381 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 754 , size[23][2] = 382 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 757 , size[23][2] = 383 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 760 , size[23][2] = 384 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 763 , size[23][2] = 385 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 766 , size[23][2] = 386 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 769 , size[23][2] = 387 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 772 , size[23][2] = 388 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 775 , size[23][2] = 389 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 778 , size[23][2] = 390 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 781 , size[23][2] = 391 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 784 , size[23][2] = 392 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 787 , size[23][2] = 393 
